location,supervisory_district,zip,jurisdiction,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,remarks
Market/Powell,6,94102,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Free entry
Market/7th (U. N. Plaza),6,94102,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Free entry
Grove/Larkin (Civic Center),6,94102,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Eddy/Jones,6,94102,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Free entry
Performance Art Garage-360 Grove St.,6,94102,Parking Authority,6am-12am,6am-12am,6am-12am,6am-12am,6am-12am,closed,closed,
Ellis/O'Farrell Garage-123 O'Farrell,6,94102,Parking Authority,5:30am-1am,5:30am-1am,5:30am-1am,5:30am-1am,5:30am-2am,5:30am-2am,5:30am-1am,Currently patrons only
Union Square Garage-333 Post St.,6,94102,Parking Authority,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Currently patrons only
Civic Center Garage-355 McAllister,6,94102,Parking Authority,6am-12am,6am-12am,6am-12am,6am-12am,6am-1am,6am-1am,8am-12am,Currently employee only
City Hall-1 Dr. Carlton Goodlett Pl.,6,94102,Public Building,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,11am-4pm,closed,
War Memorial-201 Van Ness Ave.,6,94102,Public Building,event hours,event hours,event hours,event hours,event hours,event hours,event hours,
Davis Symphony Hall-301 Van Ness Ave.,6,94102,Public Building,event hours,event hours,event hours,event hours,event hours,event hours,event hours,
Herbst Theater-401 Van Ness Ave.,6,94102,Public Building,event hours,event hours,event hours,event hours,event hours,event hours,event hours,
Civic Center Court House - 400 McCallister,6,94102,Public Building,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,
DPH - Admin. and Headquarters-101 Grove St.,6,94102,Public Building,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,
Bill Graham Auditorium-99 Grove St.,6,94102,Public Building,event hours,event hours,event hours,event hours,event hours,event hours,event hours,
Boeddeker Park-Eddy/Jones,6,94102,Rec. & Park,9am-6pm,9am-7:30pm,9am-7:30pm,9am-7:30pm,9am-7:30pm,9am-6pm,11am-5pm,
